month,day,year,position01,position02,position03
08,11,2020,5,4,1
08,10,2020,9,5,4
08,9,2020,8,4,0
08,8,2020,3,5,2
08,7,2020,8,7,1
08,6,2020,7,7,8
08,5,2020,4,4,5
08,4,2020,7,0,7
08,3,2020,3,9,2
08,2,2020,4,5,3
08,1,2020,5,0,5
07,31,2020,1,7,1
07,30,2020,5,8,2
07,29,2020,8,0,3
07,28,2020,8,8,1
07,27,2020,6,6,1
07,26,2020,4,8,5
07,25,2020,7,6,6
07,24,2020,9,9,6
07,23,2020,5,1,9
07,22,2020,9,3,4
07,21,2020,0,9,1
07,20,2020,3,9,5
07,19,2020,0,5,0
07,18,2020,0,6,7
07,17,2020,2,4,0
07,16,2020,5,9,6
07,15,2020,3,0,7
07,14,2020,0,7,9
07,13,2020,9,5,1
07,12,2020,2,7,9
07,11,2020,8,0,4
07,10,2020,9,8,7
07,9,2020,5,0,0
07,8,2020,0,0,5
07,7,2020,7,1,3
07,6,2020,9,5,3
07,5,2020,3,6,3
07,4,2020,4,5,9
07,3,2020,7,7,2
07,2,2020,2,5,9
07,1,2020,0,8,2
06,30,2020,5,9,3
06,29,2020,0,2,5
06,28,2020,4,5,0
06,27,2020,1,1,7
06,26,2020,4,8,1
06,25,2020,5,7,1
06,24,2020,1,2,4
06,23,2020,6,5,4
06,22,2020,8,3,6
06,21,2020,8,6,6
06,20,2020,3,1,0
06,19,2020,5,6,8
06,18,2020,9,8,4
06,17,2020,1,8,8
06,16,2020,1,0,0
06,15,2020,7,7,4
06,14,2020,6,1,8
06,13,2020,3,3,9
06,12,2020,0,4,9
06,11,2020,2,3,4
06,10,2020,6,6,8
06,9,2020,5,9,7
06,8,2020,1,4,8
06,7,2020,2,3,0
06,6,2020,0,2,2
06,5,2020,8,4,4
06,4,2020,8,3,8
06,3,2020,8,0,9
06,2,2020,0,6,0
06,1,2020,9,7,5
05,31,2020,9,2,5
05,30,2020,1,7,5
05,29,2020,4,4,3
05,28,2020,7,0,4
05,27,2020,5,5,2
05,26,2020,4,9,6
05,25,2020,6,1,0
05,24,2020,7,7,4
05,23,2020,5,5,6
05,22,2020,3,9,9
05,21,2020,7,2,3
05,20,2020,5,6,9
05,19,2020,3,5,1
05,18,2020,1,3,6
05,17,2020,9,6,8
05,16,2020,4,2,7
05,15,2020,0,2,9
05,14,2020,7,8,6
05,13,2020,0,2,2
05,12,2020,5,5,7
05,11,2020,2,7,3
05,10,2020,7,4,3
05,9,2020,0,5,9
05,8,2020,0,8,1
05,7,2020,6,6,5
05,6,2020,3,3,7
05,5,2020,1,8,3
05,4,2020,5,1,7
05,3,2020,9,0,5
05,2,2020,7,1,8
05,1,2020,0,8,7
04,30,2020,4,8,9
04,29,2020,3,3,8
04,28,2020,7,6,6
04,27,2020,3,3,2
04,26,2020,6,5,1
04,25,2020,4,6,6
04,24,2020,9,2,0
04,23,2020,5,2,6
04,22,2020,8,2,6
04,21,2020,4,1,2
04,20,2020,8,3,8
04,19,2020,5,8,2
04,18,2020,8,2,2
04,17,2020,7,9,4
04,16,2020,0,6,8
04,15,2020,6,1,1
04,14,2020,6,5,0
04,13,2020,7,4,4
04,12,2020,3,8,9
04,11,2020,7,7,8
04,10,2020,5,5,5
04,9,2020,9,9,2
04,8,2020,0,6,1
04,7,2020,6,1,4
04,6,2020,3,6,7
04,5,2020,2,0,1
04,4,2020,7,2,4
04,3,2020,3,7,4
04,2,2020,7,4,1
04,1,2020,9,1,4
02,31,2020,8,4,3
02,30,2020,5,5,2
02,29,2020,5,3,6
02,28,2020,5,2,1
02,27,2020,6,7,5
02,26,2020,6,8,2
02,25,2020,6,9,5
02,24,2020,1,2,8
02,23,2020,3,9,2
02,22,2020,9,7,4
02,21,2020,4,5,4
02,20,2020,7,4,7
02,19,2020,2,9,1
02,18,2020,2,0,5
02,17,2020,2,8,1
02,16,2020,8,3,3
02,15,2020,2,8,6
02,14,2020,9,1,3
02,13,2020,6,8,5
02,12,2020,4,2,7
02,11,2020,1,3,2
02,10,2020,3,9,3
02,9,2020,2,2,1
02,8,2020,4,4,3
02,7,2020,2,7,1
02,6,2020,1,8,5
02,5,2020,7,2,1
02,4,2020,9,9,9
02,3,2020,1,2,8
02,2,2020,7,4,8
02,1,2020,4,0,0
02,29,2020,2,0,0
02,28,2020,6,4,7
02,27,2020,1,5,6
02,26,2020,3,4,6
02,25,2020,7,5,8
02,24,2020,4,6,2
02,23,2020,1,0,4
02,22,2020,5,6,9
02,21,2020,6,1,3
02,20,2020,5,3,8
02,19,2020,8,1,4
02,18,2020,7,5,5
02,17,2020,5,7,8
02,16,2020,4,3,6
02,15,2020,9,9,1
02,14,2020,8,2,9
02,13,2020,6,9,8
02,12,2020,7,9,1
02,11,2020,9,9,4
02,10,2020,1,5,5
02,9,2020,5,8,0
02,8,2020,9,4,0
02,7,2020,7,1,3
02,6,2020,6,1,2
02,5,2020,9,5,6
02,4,2020,5,3,6
02,3,2020,3,9,6
02,2,2020,3,8,5
02,1,2020,6,1,0
01,31,2020,0,1,8
01,30,2020,5,2,5
01,29,2020,0,9,6
01,28,2020,7,8,0
01,27,2020,4,3,8
01,26,2020,6,3,3
01,25,2020,8,3,3
01,24,2020,4,0,9
01,23,2020,3,4,4
01,22,2020,6,3,5
01,21,2020,4,6,6
01,20,2020,0,9,1
01,19,2020,1,9,3
01,18,2020,2,2,4
01,17,2020,2,3,2
01,16,2020,3,1,4
01,15,2020,9,3,9
01,14,2020,5,3,8
01,13,2020,1,9,8
01,12,2020,5,6,1
01,11,2020,8,9,5
01,10,2020,2,7,6
01,9,2020,5,2,8
01,8,2020,6,4,4
01,7,2020,5,5,7
01,6,2020,7,7,0
01,5,2020,7,1,2
01,4,2020,2,4,6
01,3,2020,8,3,5
01,2,2020,1,3,9
01,1,2020,0,8,3
